paper_id,dblp_key,congress,level,area,year,window,country_code,source,method,confidence,matched_by,source_work_id,doi,matched_title,n_authors_with_profiles
P0496628,conf/aistats/SuppakitpaisarnPHH25,AISTATS,A,IA / ML,2025,2021-2025,DK,openreview_expanded,expanded_venue_profile_title_match,1.0,title_exact,aistats.org/AISTATS/2025/Conference,,Counting Graphlets of Size k under Local Differential Privacy,3
P0496628,conf/aistats/SuppakitpaisarnPHH25,AISTATS,A,IA / ML,2025,2021-2025,JP,openreview_expanded,expanded_venue_profile_title_match,1.0,title_exact,aistats.org/AISTATS/2025/Conference,,Counting Graphlets of Size k under Local Differential Privacy,3
P0496628,conf/aistats/SuppakitpaisarnPHH25,AISTATS,A,IA / ML,2025,2021-2025,TH,openreview_expanded,expanded_venue_profile_title_match,1.0,title_exact,aistats.org/AISTATS/2025/Conference,,Counting Graphlets of Size k under Local Differential Privacy,3
P0496503,conf/aistats/MenetHKK25,AISTATS,A,IA / ML,2025,2021-2025,CH,openreview_expanded,expanded_venue_profile_title_match,1.0,title_exact,aistats.org/AISTATS/2025/Conference,,LITE: Efficiently Estimating Gaussian Probability of Maximality,4
P0496179,conf/aistats/AlrawajfehJH25,AISTATS,A,IA / ML,2025,2021-2025,FI,openreview_expanded,expanded_venue_profile_title_match,1.0,title_exact,aistats.org/AISTATS/2025/Conference,,Noise-Aware Differentially Private Variational Inference,3
P0496506,conf/aistats/MicheliBTL25,AISTATS,A,IA / ML,2025,2021-2025,CH,openreview_expanded,expanded_venue_profile_title_match,1.0,title_exact,aistats.org/AISTATS/2025/Conference,,Wasserstein Distributionally Robust Bayesian Optimization with Continuous Context,4
P0496418,conf/aistats/KleinHSSS25,AISTATS,A,IA / ML,2025,2021-2025,FR,openreview_expanded,expanded_venue_profile_title_match,1.0,title_exact,aistats.org/AISTATS/2025/Conference,,Towards Regulatory-Confirmed Adaptive Clinical Trials: Machine Learning Opportunities and Solutions,5
P0496418,conf/aistats/KleinHSSS25,AISTATS,A,IA / ML,2025,2021-2025,IL,openreview_expanded,expanded_venue_profile_title_match,1.0,title_exact,aistats.org/AISTATS/2025/Conference,,Towards Regulatory-Confirmed Adaptive Clinical Trials: Machine Learning Opportunities and Solutions,5
P0496358,conf/aistats/HeinonenTKF25,AISTATS,A,IA / ML,2025,2021-2025,FI,openreview_expanded,expanded_venue_profile_title_match,1.0,title_exact,aistats.org/AISTATS/2025/Conference,,Robust Classification by Coupling Data Mollification with Label Smoothing,4
P0496358,conf/aistats/HeinonenTKF25,AISTATS,A,IA / ML,2025,2021-2025,FR,openreview_expanded,expanded_venue_profile_title_match,1.0,title_exact,aistats.org/AISTATS/2025/Conference,,Robust Classification by Coupling Data Mollification with Label Smoothing,4
