acronym,title,level,area,dblp_key,n_articles,first_year,last_year,n_years,n_booktitles,n_dblp_records,n_with_doi,n_with_arxiv,doi_coverage_pct,arxiv_coverage_pct,flags
IJCAI,International Joint Conference on Artificial Intelligence,A*,IA / ML,ijcai,12126,2001,2025,18,1,12126,7596,0,62.64,0.0,
KR,International Conference on the Principles of Knowledge Representation and Reasoning,A*,IA / ML,kr,1147,2002,2025,15,1,1147,425,0,37.05,0.0,
NeurIPS,Advances in Neural Information Processing Systems (was NIPS),A*,IA / ML,nips,22876,2001,2024,24,2,22876,0,0,0.0,0.0,
ASE,Automated Software Engineering Conference,A*,Ing. del Software,kbse,3133,2001,2025,25,1,3133,3068,0,97.93,0.0,
CAV,Computer Aided Verification,A*,Ing. del Software,cav,770,2001,2014,14,1,770,770,0,100.0,0.0,
FSE,"ACM International Conference on the Foundations of Software Engineering (was ESEC/FSE, changed 2024; duplicate previously listed as ESEC, removed from DB)",A*,Ing. del Software,sigsoft,546,2002,2016,9,1,546,546,0,100.0,0.0,
ICSE,International Conference on Software Engineering,A*,Ing. del Software,icse,3481,2001,2025,23,1,3481,3426,0,98.42,0.0,
PLDI,ACM-SIGPLAN Conference on Programming Language Design and Implementation,A*,Ing. del Software,pldi,1066,2001,2022,22,1,1066,1066,0,100.0,0.0,
POPL,ACM-SIGACT Symposium on Principles of Programming Languages,A*,Ing. del Software,popl,719,2001,2017,17,1,719,719,0,100.0,0.0,
INFOCOM,IEEE International Conference on Computer Communications,A*,Redes,infocom,7502,2001,2025,25,1,7502,7499,0,99.96,0.0,
MOBICOM,ACM International Conference on Mobile Computing and Networking,A*,Redes,mobicom,1930,2001,2025,25,1,1930,1912,0,99.07,0.0,
SIGCOMM,"ACM Conference on Applications, Technologies, Architectures, and Protocols for Computer Communication",A*,Redes,sigcomm,1388,2001,2025,25,1,1388,1388,0,100.0,0.0,
CCS,ACM Conference on Computer and Communications Security,A*,Seguridad,ccs,3754,2001,2025,25,1,3754,3713,0,98.91,0.0,
CRYPTO,Advances in Cryptology,A*,Seguridad,crypto,448,2001,2012,12,1,448,448,0,100.0,0.0,
EuroCrypt,International Conference on the Theory and Application of Cryptographic Techniques,A*,Seguridad,eurocrypt,498,2001,2014,14,1,498,498,0,100.0,0.0,
NDSS,Usenix Network and Distributed System Security Symposium,A*,Seguridad,ndss,1426,2001,2025,25,1,1426,1,0,0.07,0.0,
SP,IEEE Symposium on Security and Privacy,A*,Seguridad,sp,669,2001,2019,17,2,669,669,0,100.0,0.0,
USENIX-Security,Usenix Security Symposium,A*,Seguridad,uss,2819,2001,2025,25,1,2819,0,0,0.0,0.0,
ASPLOS,Architectural Support for Programming Languages and Operating Systems,A*,Sistemas,asplos,891,2002,2022,18,1,891,890,0,99.89,0.0,
DAC,Design Automation Conf,A*,Sistemas,dac,5550,2001,2025,25,1,5550,5536,0,99.75,0.0,
HPCA,International Symposium on High Performance Computer Architecture,A*,Sistemas,hpca,1317,2001,2025,25,1,1317,1317,0,100.0,0.0,
ISCA,ACM International Symposium on Computer Architecture,A*,Sistemas,isca,1404,2001,2025,25,1,1404,1388,0,98.86,0.0,
MICRO,International Symposium on Microarchitecture,A*,Sistemas,micro,1498,2001,2025,25,1,1498,1497,0,99.93,0.0,
OSDI,Usenix Symposium on Operating Systems Design and Implementation,A*,Sistemas,osdi,611,2002,2025,15,1,611,0,0,0.0,0.0,
PODC,ACM Symposium on Principles of Distributed Computing,A*,Sistemas,podc,1596,2001,2025,25,1,1596,1546,0,96.87,0.0,
SIGMETRICS,Measurement and Modeling of Computer Systems,A*,Sistemas,sigmetrics,700,2002,2016,13,1,700,700,0,100.0,0.0,
SOSP,ACM SIGOPS Symposium on Operating Systems Principles,A*,Sistemas,sosp,531,2001,2025,14,1,531,531,0,100.0,0.0,
COLT,Conference on Learning Theory,A*,Teoría,colt,1922,2002,2025,23,1,1922,277,0,14.41,0.0,
EC,ACM Conference on Economics and Computation,A*,Teoría,sigecom,1923,2001,2025,23,1,1923,1923,0,100.0,0.0,
FOCS,IEEE Symposium on Foundations of Computer Science,A*,Teoría,focs,2242,2001,2025,25,1,2242,2242,0,100.0,0.0,
ICALP,International Colloquium on Automata Languages and Programming,A*,Teoría,icalp,2067,2001,2025,16,1,2067,2067,0,100.0,0.0,
LICS,IEEE Symposium on Logic in Computer Science,A*,Teoría,lics,1459,2001,2025,24,1,1459,1455,0,99.73,0.0,
SODA,ACM/SIAM Symposium on Discrete Algorithms,A*,Teoría,soda,3794,2001,2025,25,1,3794,2734,0,72.06,0.0,
STOC,ACM Symposium on Theory of Computing,A*,Teoría,stoc,2666,2001,2025,25,1,2666,2666,0,100.0,0.0,
SoCG,International Symposium on Computational Geometry,A*,Teoría,compgeom,951,2013,2025,13,1,951,951,0,100.0,0.0,
