acronym,title,level,area,for1,status,dblp_key,dblp_conf_url
ICPC,"IEEE International Conference on Program Comprehension (previously IWPC, changed in 2006)",A,Ing. del Software,4612,CORE_2026_OFICIAL,iwpc,https://dblp.org/db/conf/iwpc/
ICS,ACM International Conference on Supercomputing,A,Sistemas,CSE,CORE_2026_OFICIAL,ics,https://dblp.org/db/conf/ics/
ICSA,International Conference on Software Architecture (was previously WICSA),A,Ing. del Software,4612,CORE_2026_OFICIAL,icsa,https://dblp.org/db/conf/icsa/
ICSME,"IEEE International Conference on Software Maintenance and Evolution (prior to 2014 was ICSM, IEEE International Conference on Software Maintenance)",A,Ing. del Software,4612,CORE_2026_OFICIAL,icsm,https://dblp.org/db/conf/icsm/
ICSOC,International Conference on Service Oriented Computing,A,Ing. del Software,4606,CORE_2026_OFICIAL,icsoc,https://dblp.org/db/conf/icsoc/
ICST,"International Conference on Software Testing, Verification and Validation",A,Ing. del Software,4612,CORE_2026_OFICIAL,icst,https://dblp.org/db/conf/icst/
ICWS,IEEE International Conference on Web Services,A,Redes,4606,CORE_2026_OFICIAL,icws,https://dblp.org/db/conf/icws/
ICWSM,International Conference on Web and Social Media,A,IA / ML,4601,CORE_2026_OFICIAL,icwsm,https://dblp.org/db/conf/icwsm/
IEEE VIS,IEEE Visualization,A,HCI,4608,CORE_2026_OFICIAL,visualization,https://dblp.org/db/conf/visualization/
IJCAR,International Joint Conference on Automated Reasoning,A,Teoría,4602,CORE_2026_OFICIAL,ijcar,https://dblp.org/db/conf/ijcar/
IMC,Internet Measurement Conference,A,Redes,4606,CORE_2026_OFICIAL,imc,https://dblp.org/db/conf/imc/
IPDPS,IEEE International Parallel and Distributed Processing Symposium (was IPPS and SPDP),A,Sistemas,4606,CORE_2026_OFICIAL,ipps,https://dblp.org/db/conf/ipps/
IROS,IEEE/RSJ International Conference on Intelligent Robots and Systems,A,IA / ML,4602,CORE_2026_OFICIAL,iros,https://dblp.org/db/conf/iros/
ISLPED,IEEE/ACM International Symposium on Low Power Electronics and Design,A,Sistemas,CSE,CORE_2026_OFICIAL,islped,https://dblp.org/db/conf/islped/
ISMB,Intelligent Systems in Molecular Biology,A,Bioinformática,4601,CORE_2026_OFICIAL,ismb,https://dblp.org/db/conf/ismb/
ISSRE,International Symposium on Software Reliability Engineering,A,Ing. del Software,4612,CORE_2026_OFICIAL,issre,https://dblp.org/db/conf/issre/
ISSTA,International Symposium on Software Testing and Analysis,A,Ing. del Software,4612,CORE_2026_OFICIAL,issta,https://dblp.org/db/conf/issta/
ISWC,International Semantic Web Conference,A,Bases de datos,4605,CORE_2026_OFICIAL,semweb,https://dblp.org/db/conf/semweb/
ITC,IEEE International Test Conference,A,Sistemas,CSE,CORE_2026_OFICIAL,itc,https://dblp.org/db/conf/itc/
ITCS,Innovations in Theoretical Computer Science,A,Teoría,4613,CORE_2026_OFICIAL,innovations,https://dblp.org/db/conf/innovations/
IUI,International Conference on Intelligent User Interfaces,A,HCI,4608,CORE_2026_OFICIAL,iui,https://dblp.org/db/conf/iui/
Interspeech,Interspeech (combined EuroSpeech and ICSLP in 2000),A,IA / ML,4602,CORE_2026_OFICIAL,interspeech,https://dblp.org/db/conf/interspeech/
LAK,International Conference on Learning Analytics and Knowledge,A,IA / ML,4608,CORE_2026_OFICIAL,lak,https://dblp.org/db/conf/lak/
MICCAI,Medical Image Computing and Computer-Assisted Intervention,A,IA / ML,4601,CORE_2026_OFICIAL,miccai,https://dblp.org/db/conf/miccai/
MMSys,ACM Multimedia Systems Conference,A,Redes,4606,CORE_2026_OFICIAL,mmsys,https://dblp.org/db/conf/mmsys/
MODELS,"International Conference on Model Driven Engineering Languages and Systems (Previously UML, changed in 2005)",A,Ing. del Software,4612,CORE_2026_OFICIAL,models,https://dblp.org/db/conf/models/
MSR,IEEE International Working Conference on Mining Software Repositories,A,Ing. del Software,4612,CORE_2026_OFICIAL,msr,https://dblp.org/db/conf/msr/
MSWIM,"ACM/IEEE International Conference on Modelling, Analysis and Simulation of Wireless and Mobile Systems",A,Redes,4606,CORE_2026_OFICIAL,mswim,https://dblp.org/db/conf/mswim/
Middleware,ACM/IFIP/USENIX International Middleware Conference,A,Sistemas,4606,CORE_2026_OFICIAL,middleware,https://dblp.org/db/conf/middleware/
Mobisys,"ACM SIGMOBILE International Conference on Mobile Systems, Applications and Services",A,Redes,4606,CORE_2026_OFICIAL,mobisys,https://dblp.org/db/conf/mobisys/
NAACL,North American Association for Computational Linguistics,A,IA / ML,4602,CORE_2026_OFICIAL,naacl,https://dblp.org/db/conf/naacl/
OOPSLA,ACM Conference on Object Oriented Programming Systems Languages and Applications,A,Ing. del Software,4612,CORE_2026_OFICIAL,oopsla,https://dblp.org/db/conf/oopsla/
PETS,Privacy Enhancing Technologies Symposium (was International Workshop of Privacy Enhancing Technologies),A,Seguridad,4604,CORE_2026_OFICIAL,pet,https://dblp.org/db/conf/pet/
