window,country_code,country_articles,eu27_uk_articles,resolved_articles,country_name,is_eu27_uk,share_resolved,share_resolved_pct,share_eu27_uk,share_eu27_uk_pct
2011-2015,NZ,320,26136,73111,NZ,False,0.004377,0.438,0.012244,1.224
2011-2015,PL,284,26136,73111,Poland,True,0.003885,0.388,0.010866,1.087
2011-2015,RU,243,26136,73111,RU,False,0.003324,0.332,0.009298,0.93
2011-2015,TR,212,26136,73111,TR,False,0.0029,0.29,0.008111,0.811
2011-2015,MX,194,26136,73111,MX,False,0.002653,0.265,0.007423,0.742
2011-2015,HU,180,26136,73111,HU,True,0.002462,0.246,0.006887,0.689
2011-2015,QA,179,26136,73111,QA,False,0.002448,0.245,0.006849,0.685
2011-2015,CL,159,26136,73111,CL,False,0.002175,0.217,0.006084,0.608
2011-2015,LU,144,26136,73111,LU,True,0.00197,0.197,0.00551,0.551
2011-2015,SA,141,26136,73111,SA,False,0.001929,0.193,0.005395,0.539
2011-2015,IR,126,26136,73111,IR,False,0.001723,0.172,0.004821,0.482
2011-2015,PK,115,26136,73111,PK,False,0.001573,0.157,0.0044,0.44
2011-2015,RO,100,26136,73111,RO,True,0.001368,0.137,0.003826,0.383
2011-2015,EG,83,26136,73111,EG,False,0.001135,0.114,0.003176,0.318
2011-2015,ZA,77,26136,73111,ZA,False,0.001053,0.105,0.002946,0.295
2011-2015,EE,71,26136,73111,EE,True,0.000971,0.097,0.002717,0.272
2011-2015,SI,71,26136,73111,SI,True,0.000971,0.097,0.002717,0.272
2011-2015,AR,65,26136,73111,AR,False,0.000889,0.089,0.002487,0.249
2011-2015,CO,62,26136,73111,CO,False,0.000848,0.085,0.002372,0.237
2011-2015,MY,59,26136,73111,MY,False,0.000807,0.081,0.002257,0.226
2011-2015,MO,57,26136,73111,MO,False,0.00078,0.078,0.002181,0.218
2011-2015,CY,55,26136,73111,CY,True,0.000752,0.075,0.002104,0.21
2011-2015,TN,54,26136,73111,TN,False,0.000739,0.074,0.002066,0.207
2011-2015,TH,52,26136,73111,TH,False,0.000711,0.071,0.00199,0.199
2011-2015,AE,50,26136,73111,AE,False,0.000684,0.068,0.001913,0.191
2011-2015,SK,42,26136,73111,SK,True,0.000574,0.057,0.001607,0.161
2011-2015,BI,38,26136,73111,BI,False,0.00052,0.052,0.001454,0.145
2011-2015,DZ,34,26136,73111,DZ,False,0.000465,0.047,0.001301,0.13
2011-2015,HR,32,26136,73111,HR,True,0.000438,0.044,0.001224,0.122
2011-2015,IS,32,26136,73111,IS,False,0.000438,0.044,0.001224,0.122
2011-2015,VN,30,26136,73111,VN,False,0.00041,0.041,0.001148,0.115
2011-2015,BD,23,26136,73111,BD,False,0.000315,0.031,0.00088,0.088
2011-2015,LB,23,26136,73111,LB,False,0.000315,0.031,0.00088,0.088
2011-2015,MA,22,26136,73111,MA,False,0.000301,0.03,0.000842,0.084
2011-2015,RS,22,26136,73111,RS,False,0.000301,0.03,0.000842,0.084
2011-2015,LV,19,26136,73111,LV,True,0.00026,0.026,0.000727,0.073
2011-2015,BG,17,26136,73111,BG,True,0.000233,0.023,0.00065,0.065
2011-2015,PR,16,26136,73111,PR,False,0.000219,0.022,0.000612,0.061
2011-2015,SS,16,26136,73111,SS,False,0.000219,0.022,0.000612,0.061
2011-2015,ID,13,26136,73111,ID,False,0.000178,0.018,0.000497,0.05
2011-2015,PH,13,26136,73111,PH,False,0.000178,0.018,0.000497,0.05
2011-2015,BM,9,26136,73111,BM,False,0.000123,0.012,0.000344,0.034
