level,window,rank_eu27_uk,country_code,country_name,country_articles,eu27_uk_articles,share_eu27_uk,share_eu27_uk_pct
A,2016-2020,22,CY,CY,39,14816,0.002632,0.263
A,2016-2020,23,SK,SK,26,14816,0.001755,0.175
A,2016-2020,24,HR,HR,19,14816,0.001282,0.128
A,2016-2020,25,MT,MT,7,14816,0.000472,0.047
A,2016-2020,26,BG,BG,6,14816,0.000405,0.04
A,2016-2020,27,LV,LV,5,14816,0.000337,0.034
A,2016-2020,28,LT,LT,2,14816,0.000135,0.013
A,2021-2025,1,DE,Germany,5226,18182,0.287427,28.743
A,2021-2025,2,GB,United Kingdom,4449,18182,0.244693,24.469
A,2021-2025,3,FR,France,2442,18182,0.134309,13.431
A,2021-2025,4,IT,Italy,1925,18182,0.105874,10.587
A,2021-2025,5,NL,Netherlands,1677,18182,0.092234,9.223
A,2021-2025,6,ES,Spain,980,18182,0.053899,5.39
A,2021-2025,7,AT,Austria,961,18182,0.052854,5.285
A,2021-2025,8,SE,Sweden,815,18182,0.044825,4.482
A,2021-2025,9,BE,Belgium,598,18182,0.03289,3.289
A,2021-2025,10,DK,Denmark,583,18182,0.032065,3.206
A,2021-2025,11,FI,Finland,462,18182,0.02541,2.541
A,2021-2025,12,PL,Poland,396,18182,0.02178,2.178
A,2021-2025,13,CZ,Czechia,340,18182,0.0187,1.87
A,2021-2025,14,PT,Portugal,330,18182,0.01815,1.815
A,2021-2025,15,GR,Greece,287,18182,0.015785,1.578
A,2021-2025,16,IE,Ireland,277,18182,0.015235,1.523
A,2021-2025,17,LU,LU,169,18182,0.009295,0.929
A,2021-2025,18,HU,HU,89,18182,0.004895,0.489
A,2021-2025,19,EE,EE,87,18182,0.004785,0.478
A,2021-2025,20,RO,RO,71,18182,0.003905,0.39
A,2021-2025,21,SI,SI,61,18182,0.003355,0.335
A,2021-2025,22,CY,CY,42,18182,0.00231,0.231
A,2021-2025,23,SK,SK,36,18182,0.00198,0.198
A,2021-2025,24,HR,HR,29,18182,0.001595,0.159
A,2021-2025,25,BG,BG,18,18182,0.00099,0.099
A,2021-2025,26,MT,MT,6,18182,0.00033,0.033
A,2021-2025,27,LT,LT,5,18182,0.000275,0.027
A,2021-2025,28,LV,LV,3,18182,0.000165,0.016
