level,window,country_code,country_articles,eu27_uk_articles,resolved_articles,country_name,is_eu27_uk,share_eu27_uk,share_eu27_uk_pct
A*,2011-2015,BN,1,11592,37322,BN,False,8.6e-05,0.009
A*,2011-2015,CM,1,11592,37322,CM,False,8.6e-05,0.009
A*,2011-2015,CU,1,11592,37322,CU,False,8.6e-05,0.009
A*,2011-2015,DO,1,11592,37322,DO,False,8.6e-05,0.009
A*,2011-2015,ET,1,11592,37322,ET,False,8.6e-05,0.009
A*,2011-2015,GL,1,11592,37322,GL,False,8.6e-05,0.009
A*,2011-2015,JO,1,11592,37322,JO,False,8.6e-05,0.009
A*,2011-2015,KE,1,11592,37322,KE,False,8.6e-05,0.009
A*,2011-2015,KH,1,11592,37322,KH,False,8.6e-05,0.009
A*,2011-2015,MD,1,11592,37322,MD,False,8.6e-05,0.009
A*,2011-2015,ME,1,11592,37322,ME,False,8.6e-05,0.009
A*,2011-2015,MM,1,11592,37322,MM,False,8.6e-05,0.009
A*,2011-2015,MN,1,11592,37322,MN,False,8.6e-05,0.009
A*,2011-2015,MU,1,11592,37322,MU,False,8.6e-05,0.009
A*,2011-2015,NC,1,11592,37322,NC,False,8.6e-05,0.009
A*,2011-2015,NE,1,11592,37322,NE,False,8.6e-05,0.009
A*,2011-2015,OM,1,11592,37322,OM,False,8.6e-05,0.009
A*,2011-2015,PS,1,11592,37322,PS,False,8.6e-05,0.009
A*,2011-2015,RW,1,11592,37322,RW,False,8.6e-05,0.009
A*,2011-2015,WS,1,11592,37322,WS,False,8.6e-05,0.009
A*,2011-2015,YE,1,11592,37322,YE,False,8.6e-05,0.009
A*,2016-2020,US,27961,16447,59170,United States,False,1.700067,170.007
A*,2016-2020,CN,13931,16447,59170,China,False,0.847024,84.702
A*,2016-2020,GB,5458,16447,59170,United Kingdom,True,0.331854,33.185
A*,2016-2020,DE,4274,16447,59170,Germany,True,0.259865,25.987
A*,2016-2020,CA,3161,16447,59170,Canada,False,0.192193,19.219
A*,2016-2020,AU,2679,16447,59170,Australia,False,0.162887,16.289
A*,2016-2020,FR,2402,16447,59170,France,True,0.146045,14.604
A*,2016-2020,JP,2260,16447,59170,Japan,False,0.137411,13.741
A*,2016-2020,SG,2147,16447,59170,Singapore,False,0.130541,13.054
A*,2016-2020,IL,1991,16447,59170,Israel,False,0.121056,12.106
A*,2016-2020,CH,1903,16447,59170,Switzerland,False,0.115705,11.57
A*,2016-2020,HK,1690,16447,59170,Hong Kong,False,0.102754,10.275
A*,2016-2020,KR,1653,16447,59170,South Korea,False,0.100505,10.05
A*,2016-2020,IT,1352,16447,59170,Italy,True,0.082203,8.22
A*,2016-2020,IN,1265,16447,59170,India,False,0.076914,7.691
A*,2016-2020,NL,1105,16447,59170,Netherlands,True,0.067186,6.719
A*,2016-2020,SE,700,16447,59170,Sweden,True,0.042561,4.256
A*,2016-2020,TW,676,16447,59170,Taiwan,False,0.041102,4.11
A*,2016-2020,AT,675,16447,59170,Austria,True,0.041041,4.104
A*,2016-2020,ES,627,16447,59170,Spain,True,0.038122,3.812
A*,2016-2020,DK,592,16447,59170,Denmark,True,0.035994,3.599
A*,2016-2020,FI,418,16447,59170,Finland,True,0.025415,2.541
A*,2016-2020,BE,403,16447,59170,Belgium,True,0.024503,2.45
A*,2016-2020,RU,391,16447,59170,RU,False,0.023773,2.377
A*,2016-2020,CZ,334,16447,59170,Czechia,True,0.020308,2.031
A*,2016-2020,PL,333,16447,59170,Poland,True,0.020247,2.025
A*,2016-2020,BR,313,16447,59170,Brazil,False,0.019031,1.903
A*,2016-2020,GR,300,16447,59170,Greece,True,0.01824,1.824
A*,2016-2020,NZ,227,16447,59170,NZ,False,0.013802,1.38
A*,2016-2020,IE,226,16447,59170,Ireland,True,0.013741,1.374
A*,2016-2020,PT,214,16447,59170,Portugal,True,0.013011,1.301
A*,2016-2020,NO,212,16447,59170,Norway,False,0.01289,1.289
A*,2016-2020,AE,200,16447,59170,AE,False,0.01216,1.216
A*,2016-2020,MX,197,16447,59170,MX,False,0.011978,1.198
A*,2016-2020,SA,191,16447,59170,SA,False,0.011613,1.161
A*,2016-2020,QA,133,16447,59170,QA,False,0.008087,0.809
A*,2016-2020,CL,103,16447,59170,CL,False,0.006263,0.626
A*,2016-2020,TR,102,16447,59170,TR,False,0.006202,0.62
A*,2016-2020,IR,96,16447,59170,IR,False,0.005837,0.584
A*,2016-2020,MO,88,16447,59170,MO,False,0.005351,0.535
A*,2016-2020,LU,83,16447,59170,LU,True,0.005047,0.505
A*,2016-2020,PK,69,16447,59170,PK,False,0.004195,0.42
A*,2016-2020,HU,68,16447,59170,HU,True,0.004134,0.413
A*,2016-2020,RO,66,16447,59170,RO,True,0.004013,0.401
A*,2016-2020,JM,57,16447,59170,JM,False,0.003466,0.347
A*,2016-2020,KY,51,16447,59170,KY,False,0.003101,0.31
A*,2016-2020,SI,43,16447,59170,SI,True,0.002614,0.261
A*,2016-2020,BD,42,16447,59170,BD,False,0.002554,0.255
A*,2016-2020,SK,42,16447,59170,SK,True,0.002554,0.255
A*,2016-2020,AR,37,16447,59170,AR,False,0.00225,0.225
A*,2016-2020,ZA,37,16447,59170,ZA,False,0.00225,0.225
A*,2016-2020,BI,36,16447,59170,BI,False,0.002189,0.219
A*,2016-2020,CO,35,16447,59170,CO,False,0.002128,0.213
A*,2016-2020,MY,35,16447,59170,MY,False,0.002128,0.213
A*,2016-2020,CY,34,16447,59170,CY,True,0.002067,0.207
A*,2016-2020,DZ,34,16447,59170,DZ,False,0.002067,0.207
A*,2016-2020,MK,33,16447,59170,MK,False,0.002006,0.201
A*,2016-2020,EG,32,16447,59170,EG,False,0.001946,0.195
A*,2016-2020,TH,28,16447,59170,TH,False,0.001702,0.17
A*,2016-2020,VN,26,16447,59170,VN,False,0.001581,0.158
A*,2016-2020,SS,22,16447,59170,SS,False,0.001338,0.134
A*,2016-2020,BG,19,16447,59170,BG,True,0.001155,0.116
A*,2016-2020,EE,19,16447,59170,EE,True,0.001155,0.116
A*,2016-2020,DO,17,16447,59170,DO,False,0.001034,0.103
A*,2016-2020,MM,17,16447,59170,MM,False,0.001034,0.103
A*,2016-2020,KZ,15,16447,59170,KZ,False,0.000912,0.091
A*,2016-2020,LB,15,16447,59170,LB,False,0.000912,0.091
A*,2016-2020,IS,14,16447,59170,IS,False,0.000851,0.085
A*,2016-2020,ID,13,16447,59170,ID,False,0.00079,0.079
A*,2016-2020,PH,13,16447,59170,PH,False,0.00079,0.079
A*,2016-2020,HR,11,16447,59170,HR,True,0.000669,0.067
A*,2016-2020,MA,11,16447,59170,MA,False,0.000669,0.067
A*,2016-2020,PR,11,16447,59170,PR,False,0.000669,0.067
A*,2016-2020,LK,9,16447,59170,LK,False,0.000547,0.055
A*,2016-2020,RS,8,16447,59170,RS,False,0.000486,0.049
A*,2016-2020,LV,7,16447,59170,LV,True,0.000426,0.043
A*,2016-2020,MT,7,16447,59170,MT,True,0.000426,0.043
A*,2016-2020,NG,7,16447,59170,NG,False,0.000426,0.043
A*,2016-2020,PE,7,16447,59170,PE,False,0.000426,0.043
A*,2016-2020,UY,7,16447,59170,UY,False,0.000426,0.043
A*,2016-2020,PS,6,16447,59170,PS,False,0.000365,0.036
A*,2016-2020,BA,5,16447,59170,BA,False,0.000304,0.03
A*,2016-2020,BY,5,16447,59170,BY,False,0.000304,0.03
A*,2016-2020,EC,5,16447,59170,EC,False,0.000304,0.03
A*,2016-2020,IQ,5,16447,59170,IQ,False,0.000304,0.03
A*,2016-2020,KH,5,16447,59170,KH,False,0.000304,0.03
A*,2016-2020,VE,5,16447,59170,VE,False,0.000304,0.03
A*,2016-2020,CR,4,16447,59170,CR,False,0.000243,0.024
A*,2016-2020,UA,4,16447,59170,UA,False,0.000243,0.024
A*,2016-2020,AZ,3,16447,59170,AZ,False,0.000182,0.018
