congress,level,area,booktitle,n_articles,first_year,last_year,n_years,secondary_tokens,flag_secondary_candidate
MICCAI,A,IA / ML,ABDI@MICCAI,28,2014,2014,1,,False
MICCAI,A,IA / ML,DALI@MICCAI,28,2022,2023,2,,False
MICCAI,A,IA / ML,DART/MIL3ID@MICCAI,28,2019,2019,1,,False
MICCAI,A,IA / ML,DFUC@MICCAI,28,2021,2024,3,,False
MICCAI,A,IA / ML,FIFI/OMIA@MICCAI,28,2017,2017,1,,False
MICCAI,A,IA / ML,LABELS/DLMIA@MICCAI,28,2016,2016,1,,False
MICCAI,A,IA / ML,DGM4MICCAI/DALI@MICCAI,27,2021,2021,1,,False
MICCAI,A,IA / ML,MIDOG/MOOD/Learn2Reg@MICCAI,27,2021,2021,1,,False
MICCAI,A,IA / ML,UNSURE/PIPPI@MICCAI,27,2021,2021,1,,False
MICCAI,A,IA / ML,MSKI@MICCAI,26,2017,2018,2,,False
MICCAI,A,IA / ML,Brainles@MICCAI,25,2015,2015,1,,False
MICCAI,A,IA / ML,MIDOG/DRAC@MICCAI,25,2022,2022,1,,False
MICCAI,A,IA / ML,MMMI@MICCAI,25,2019,2022,2,,False
MICCAI,A,IA / ML,iMIMIC@MICCAI,25,2022,2025,2,,False
MICCAI,A,IA / ML,MLMECH/CVII-STENT@MICCAI,24,2019,2019,1,,False
MICCAI,A,IA / ML,POCUS/BIVPCS/CuRIOUS/CPM@MICCAI,24,2018,2018,1,,False
MICCAI,A,IA / ML,DART/FAIR@MICCAI,23,2021,2021,1,,False
MICCAI,A,IA / ML,DGM4MICCAI,23,2023,2023,1,,False
MICCAI,A,IA / ML,ISIC/iMIMIC/EARTH/DeCaF@MICCAI,23,2024,2024,1,,False
MICCAI,A,IA / ML,MBIA/MFCA@MICCAI,23,2019,2019,1,,False
MICCAI,A,IA / ML,AutoImplant@MICCAI,22,2020,2021,2,,False
MICCAI,A,IA / ML,CDMRI/MMBC@MICCAI,22,2013,2013,1,,False
MICCAI,A,IA / ML,GRAIL/MFCA/MICGen@MICCAI,22,2017,2017,1,,False
MICCAI,A,IA / ML,GRAIL/RIME@MICCAI,22,2025,2025,1,,False
MICCAI,A,IA / ML,ABCD-NP@MICCAI,21,2019,2019,1,,False
MICCAI,A,IA / ML,DIAMOND/MARIO@MICCAI,21,2024,2024,1,,False
MICCAI,A,IA / ML,FAIMI@MICCAI,21,2025,2025,1,,False
MICCAI,A,IA / ML,GLMI@MICCAI,21,2019,2019,1,,False
MICCAI,A,IA / ML,HNTS-MRG@MICCAI,21,2024,2024,1,,False
MICCAI,A,IA / ML,LDTM/MMMI/ML4MHD/ML-CDS@MICCAI,21,2024,2024,1,,False
MICCAI,A,IA / ML,ToothFairy/3DTeethLand/STS@MICCAI,21,2024,2024,1,,False
MICCAI,A,IA / ML,AIRT@MICCAI,20,2019,2019,1,,False
MICCAI,A,IA / ML,DART/DCL@MICCAI,20,2020,2020,1,,False
MICCAI,A,IA / ML,SUSI/PIPPI@MICCAI,20,2019,2019,1,,False
MICCAI,A,IA / ML,UNSURE/GRAIL@MICCAI,20,2020,2020,1,,False
MICCAI,A,IA / ML,BIVPCS/POCUS@MICCAI,19,2017,2017,1,,False
MICCAI,A,IA / ML,COLAS@MICCAI,19,2025,2025,1,,False
MICCAI,A,IA / ML,IUGC@MICCAI,19,2024,2025,2,,False
MICCAI,A,IA / ML,MCV/BAMBI@MICCAI,19,2016,2016,1,,False
MICCAI,A,IA / ML,UNSURE/CLIP@MICCAI,19,2019,2019,1,,False
