venue,tier,tier_reason,tier_action,priority_level,priority_score,inferred_area,ever_astar,years_present,active_article_years_required,manual_include,manual_area,manual_dblp_key_or_booktitle,manual_notes
ICADL,TIER2,venue relevante pero fronterizo/interdisciplinar en lista curada Tier 2,Revisión manual antes de decidir extracción,HIGH,15.4,Sin clasificar,False,5,12,,,,
CBSE,TIER2,área central pero evidencia insuficiente para inclusión automática,Revisión manual antes de decidir extracción,MEDIUM,13.2,Ingeniería del Software / Servicios,False,2,6,,,,
DocEng,TIER2,venue relevante pero fronterizo/interdisciplinar en lista curada Tier 2,Revisión manual antes de decidir extracción,MEDIUM,13.2,HCI / CSCW / Documentos,False,2,6,,,,
AIME,TIER2,venue relevante pero fronterizo/interdisciplinar en lista curada Tier 2,Revisión manual antes de decidir extracción,MEDIUM,11.8,Bioinformática / Informática médica,False,3,9,,,,
AMCIS,TIER2,venue relevante pero fronterizo/interdisciplinar en lista curada Tier 2,Revisión manual antes de decidir extracción,MEDIUM,11.4,Sistemas de información,False,4,7,,,,
DESRIST,TIER2,venue relevante pero fronterizo/interdisciplinar en lista curada Tier 2,Revisión manual antes de decidir extracción,MEDIUM,11.4,Sistemas de información,False,4,7,,,,
HICSS,TIER2,venue relevante pero fronterizo/interdisciplinar en lista curada Tier 2,Revisión manual antes de decidir extracción,MEDIUM,11.4,Sistemas de información,False,4,7,,,,
CAIP,TIER2,área central pero evidencia insuficiente para inclusión automática,Revisión manual antes de decidir extracción,MEDIUM,11.0,Visión / Imagen / Gráficos,False,1,5,,,,
CGI,TIER2,área central pero evidencia insuficiente para inclusión automática,Revisión manual antes de decidir extracción,MEDIUM,11.0,Visión / Imagen / Gráficos,False,1,5,,,,
CPAIOR,TIER2,área central pero evidencia insuficiente para inclusión automática,Revisión manual antes de decidir extracción,MEDIUM,11.0,Teoría / Métodos formales / PL,False,1,5,,,,
DEXA,TIER2,área central pero evidencia insuficiente para inclusión automática,Revisión manual antes de decidir extracción,MEDIUM,11.0,Bases de datos / Web / Conocimiento,False,1,5,,,,
ECSCW,TIER2,área central pero evidencia insuficiente para inclusión automática,Revisión manual antes de decidir extracción,MEDIUM,11.0,HCI / CSCW / Documentos,False,1,5,,,,
EKAW,TIER2,área central pero evidencia insuficiente para inclusión automática,Revisión manual antes de decidir extracción,MEDIUM,11.0,Bases de datos / Web / Conocimiento,False,1,5,,,,
EuroMPI,TIER2,área central pero evidencia insuficiente para inclusión automática,Revisión manual antes de decidir extracción,MEDIUM,11.0,Sistemas / HPC / Arquitectura,False,1,5,,,,
FST&TCS,TIER2,área central pero evidencia insuficiente para inclusión automática,Revisión manual antes de decidir extracción,MEDIUM,11.0,Teoría / Métodos formales / PL,False,1,5,,,,
Group,TIER2,venue relevante pero fronterizo/interdisciplinar en lista curada Tier 2,Revisión manual antes de decidir extracción,MEDIUM,11.0,HCI / CSCW / Documentos,False,1,5,,,,
ICIAP,TIER2,área central pero evidencia insuficiente para inclusión automática,Revisión manual antes de decidir extracción,MEDIUM,11.0,Visión / Imagen / Gráficos,False,1,5,,,,
ICIP,TIER2,área central pero evidencia insuficiente para inclusión automática,Revisión manual antes de decidir extracción,MEDIUM,11.0,Visión / Imagen / Gráficos,False,1,5,,,,
ASIS&T,TIER2,venue relevante pero fronterizo/interdisciplinar en lista curada Tier 2,Revisión manual antes de decidir extracción,LOW,8.0,Sin clasificar,False,1,5,,,,
ICALT,TIER2,venue relevante pero fronterizo/interdisciplinar en lista curada Tier 2,Revisión manual antes de decidir extracción,LOW,8.0,Educación / Learning technologies,False,1,5,,,,
ITP,TIER3,"área adyacente, interdisciplinar o sin clasificar",Excluir del corpus principal salvo apéndice o cambio de alcance,MEDIUM,13.6,Sin clasificar,False,7,13,,,,
MFCS,TIER3,"área adyacente, interdisciplinar o sin clasificar",Excluir del corpus principal salvo apéndice o cambio de alcance,MEDIUM,13.6,Sin clasificar,False,7,13,,,,
TCC,TIER3,"área adyacente, interdisciplinar o sin clasificar",Excluir del corpus principal salvo apéndice o cambio de alcance,MEDIUM,13.6,Sin clasificar,False,7,13,,,,
VRST,TIER3,"área adyacente, interdisciplinar o sin clasificar",Excluir del corpus principal salvo apéndice o cambio de alcance,MEDIUM,13.6,Sin clasificar,False,7,13,,,,
EAAI,TIER3,venue en lista curada de baja prioridad o fuera de alcance,Excluir del corpus principal salvo apéndice o cambio de alcance,MEDIUM,13.4,Sin clasificar,False,5,12,,,,
ESQARU,TIER3,"área adyacente, interdisciplinar o sin clasificar",Excluir del corpus principal salvo apéndice o cambio de alcance,MEDIUM,13.4,Sin clasificar,False,5,12,,,,
FSR,TIER3,venue en lista curada de baja prioridad o fuera de alcance,Excluir del corpus principal salvo apéndice o cambio de alcance,MEDIUM,13.4,Sin clasificar,False,5,12,,,,
ICCL,TIER3,venue en lista curada de baja prioridad o fuera de alcance,Excluir del corpus principal salvo apéndice o cambio de alcance,MEDIUM,13.4,Sin clasificar,False,5,12,,,,
ICMCS,TIER3,"área adyacente, interdisciplinar o sin clasificar",Excluir del corpus principal salvo apéndice o cambio de alcance,MEDIUM,13.4,Sin clasificar,False,5,12,,,,
ICSC2,TIER3,"área adyacente, interdisciplinar o sin clasificar",Excluir del corpus principal salvo apéndice o cambio de alcance,MEDIUM,13.4,Sin clasificar,False,5,12,,,,
ICSPC,TIER3,"área adyacente, interdisciplinar o sin clasificar",Excluir del corpus principal salvo apéndice o cambio de alcance,MEDIUM,13.4,Sin clasificar,False,5,12,,,,
ICTL,TIER3,"área adyacente, interdisciplinar o sin clasificar",Excluir del corpus principal salvo apéndice o cambio de alcance,MEDIUM,13.4,Sin clasificar,False,5,12,,,,
IEEETKDE,TIER3,"área adyacente, interdisciplinar o sin clasificar",Excluir del corpus principal salvo apéndice o cambio de alcance,MEDIUM,13.4,Sin clasificar,False,5,12,,,,
ILPS,TIER3,"área adyacente, interdisciplinar o sin clasificar",Excluir del corpus principal salvo apéndice o cambio de alcance,MEDIUM,13.4,Sin clasificar,False,5,12,,,,
IM,TIER3,"área adyacente, interdisciplinar o sin clasificar",Excluir del corpus principal salvo apéndice o cambio de alcance,MEDIUM,13.4,Sin clasificar,False,5,12,,,,
ISD,TIER3,"área adyacente, interdisciplinar o sin clasificar",Excluir del corpus principal salvo apéndice o cambio de alcance,MEDIUM,13.4,Sin clasificar,False,5,12,,,,
ISR,TIER3,"área adyacente, interdisciplinar o sin clasificar",Excluir del corpus principal salvo apéndice o cambio de alcance,MEDIUM,13.4,Sin clasificar,False,5,12,,,,
ISSCC,TIER3,"área adyacente, interdisciplinar o sin clasificar",Excluir del corpus principal salvo apéndice o cambio de alcance,MEDIUM,13.4,Sin clasificar,False,5,12,,,,
MATES ENASE,TIER3,"área adyacente, interdisciplinar o sin clasificar",Excluir del corpus principal salvo apéndice o cambio de alcance,MEDIUM,13.4,Sin clasificar,False,5,12,,,,
