venue,first_core_year,last_core_year,years_list,levels_list,in_current_2026_corpus,min_year,max_year,n_papers
SIGGRAPH,2008,2026,2008|2013|2014|2017|2018|2020|2021|2023|2026,A*,True,2001,2025,8892
SIGIR,2008,2026,2008|2013|2014|2017|2018|2020|2021|2023|2026,A*,True,2001,2025,6294
SIGMETRICS,2008,2026,2008|2013|2014|2017|2018|2020|2021|2023|2026,A*,True,2002,2016,700
SIGMOD,2008,2026,2008|2013|2014|2017|2018|2020|2021|2023|2026,A*,True,2001,2022,3268
SIGSPATIAL,2018,2026,2018|2021|2023|2026,A,True,2003,2025,2066
SODA,2008,2026,2008|2013|2014|2017|2018|2020|2021|2023|2026,A*,True,2001,2025,3794
SOSP,2008,2026,2008|2013|2014|2017|2018|2020|2021|2023|2026,A*,True,2001,2025,531
SOUPS,2026,2026,2026,A,True,2005,2025,353
SP,2008,2026,2008|2013|2014|2017|2018|2020|2021|2023|2026,A|A*,True,2001,2019,669
STACS,2008,2026,2008|2018|2020|2021|2023|2026,A,True,2001,2025,1477
STOC,2008,2026,2008|2013|2014|2017|2018|2020|2021|2023|2026,A*,True,2001,2025,2666
SiggraphA,2026,2026,2026,A*,True,2008,2025,2060
SoCG,2008,2026,2008|2013|2014|2017|2018|2020|2021|2023|2026,A|A*,True,2013,2025,951
TACAS,2008,2026,2008|2013|2014|2017|2018|2020|2021|2023|2026,A,True,2001,2016,728
UAI,2008,2026,2008|2013|2014|2017|2018|2020|2021|2023|2026,A|A*,True,2001,2025,2849
UIST,2008,2026,2008|2013|2014|2017|2018|2020|2021|2023|2026,A|A*,True,2001,2025,1790
UMAP,2026,2026,2026,A,True,2009,2025,856
USENIX,2008,2026,2008|2013|2014|2017|2018|2020|2021|2023|2026,A,True,2007,2025,1057
USENIX-Security,2013,2026,2013|2014|2017|2018|2020|2021|2023|2026,A|A*,True,2001,2025,2819
VLDB,2008,2026,2008|2013|2014|2017|2018|2020|2021|2023|2026,A*,True,2001,2025,5792
VR,2014,2026,2014|2017|2018|2020|2021|2023|2026,A|A*,True,2001,2025,2716
WACV,2008,2026,2008|2013|2014|2017|2018|2020|2021|2023|2026,A,True,2002,2025,5170
WSDM,2014,2026,2014|2017|2018|2020|2021|2023|2026,A|A*,True,2008,2025,1962
WWW,2008,2026,2008|2013|2014|2017|2018|2020|2021|2023|2026,A*,True,2001,2025,5251
