window,scenario,country_code,count,eu_den,share,rank
2021-2025,optimistic_ES,LT,10,74010,0.00013511687609782462,28
2021-2025,optimistic_ES,SE,2187,74010,0.029550060802594244,8
2021-2025,optimistic_ES,PL,1160,74010,0.015673557627347654,11
2021-2025,pessimistic_ES,AT,2217,74010,0.02995541143088772,6
2021-2025,pessimistic_ES,MT,11,74010,0.00014862856370760708,26
2021-2025,pessimistic_ES,BE,1236,74010,0.016700445885691122,10
2021-2025,pessimistic_ES,RO,141,74010,0.0019051479529793272,19
2021-2025,pessimistic_ES,NL,3865,74010,0.05222267261180921,5
2021-2025,pessimistic_ES,DE,12955,74010,0.1750439129847318,2
2021-2025,pessimistic_ES,GR,648,74010,0.008755573571139035,14
2021-2025,pessimistic_ES,ES,1990,74010,0.0268882583434671,8
2021-2025,pessimistic_ES,CY,97,74010,0.0013106336981488988,23
2021-2025,pessimistic_ES,HU,169,74010,0.002283475206053236,18
2021-2025,pessimistic_ES,GB,14709,74010,0.19874341305229024,1
2021-2025,pessimistic_ES,BG,95,74010,0.0012836103229293338,24
2021-2025,pessimistic_ES,PT,615,74010,0.008309687880016214,15
2021-2025,pessimistic_ES,SK,110,74010,0.0014862856370760709,22
2021-2025,pessimistic_ES,FI,1107,74010,0.014957438184029186,12
2021-2025,pessimistic_ES,IE,542,74010,0.007323334684502095,16
2021-2025,pessimistic_ES,SI,123,74010,0.0016619375760032428,21
2021-2025,pessimistic_ES,LU,324,74010,0.004377786785569517,17
2021-2025,pessimistic_ES,LV,11,74010,0.00014862856370760708,26
2021-2025,pessimistic_ES,EE,126,74010,0.0017024726388325901,20
2021-2025,pessimistic_ES,HR,51,74010,0.0006890960680989056,25
2021-2025,pessimistic_ES,FR,6337,74010,0.08562356438319146,3
2021-2025,pessimistic_ES,DK,1710,74010,0.02310498581272801,9
2021-2025,pessimistic_ES,IT,4069,74010,0.05497905688420484,4
2021-2025,pessimistic_ES,CZ,780,74010,0.01053911633563032,13
2021-2025,pessimistic_ES,LT,10,74010,0.00013511687609782462,28
2021-2025,pessimistic_ES,SE,2187,74010,0.029550060802594244,7
2021-2025,pessimistic_ES,PL,1160,74010,0.015673557627347654,11
