window,scenario,country_code,count,eu_den,share,rank
2011-2015,observed,BE,878,26136,0.03359351086623814,9
2011-2015,observed,RO,100,26136,0.0038261401897765534,19
2011-2015,observed,NL,1742,26136,0.06665136210590757,6
2011-2015,observed,DE,6970,26136,0.26668197122742576,1
2011-2015,observed,GR,664,26136,0.025405570860116314,10
2011-2015,observed,ES,1909,26136,0.0730410162228344,5
2011-2015,observed,CY,55,26136,0.0021043771043771043,22
2011-2015,observed,HU,180,26136,0.006887052341597796,17
2011-2015,observed,GB,5981,26136,0.22884144475053567,2
2011-2015,observed,BG,17,26136,0.0006504438322620141,26
2011-2015,observed,PT,570,26136,0.021808999081726354,12
2011-2015,observed,SK,42,26136,0.0016069788797061523,23
2011-2015,observed,FI,562,26136,0.02150290786654423,13
2011-2015,observed,IE,462,26136,0.017676767676767676,14
2011-2015,observed,SI,71,26136,0.002716559534741353,20
2011-2015,observed,LU,144,26136,0.005509641873278237,18
2011-2015,observed,LV,19,26136,0.0007269666360575452,25
2011-2015,observed,EE,71,26136,0.002716559534741353,20
2011-2015,observed,HR,32,26136,0.001224364860728497,24
2011-2015,observed,FR,4508,26136,0.17248239975512702,3
2011-2015,observed,DK,632,26136,0.024181205999387816,11
2011-2015,observed,IT,2560,26136,0.09794918885827977,4
2011-2015,observed,CZ,373,26136,0.014271502907866544,15
2011-2015,observed,LT,3,26136,0.0001147842056932966,28
2011-2015,observed,SE,1009,26136,0.03860575451484542,8
2011-2015,observed,PL,284,26136,0.010866238138965412,16
2011-2015,optimistic_ES,AT,1106,39615,0.027918717657452984,7
2011-2015,optimistic_ES,MT,9,39615,0.00022718667171525936,27
2011-2015,optimistic_ES,BE,878,39615,0.02216332197399975,9
2011-2015,optimistic_ES,RO,100,39615,0.002524296352391771,19
2011-2015,optimistic_ES,NL,1742,39615,0.04397324245866465,6
2011-2015,optimistic_ES,DE,6970,39615,0.17594345576170642,2
2011-2015,optimistic_ES,GR,664,39615,0.016761327779881357,10
2011-2015,optimistic_ES,ES,15388,39615,0.3884387227060457,1
2011-2015,optimistic_ES,CY,55,39615,0.001388362993815474,22
2011-2015,optimistic_ES,HU,180,39615,0.004543733434305188,17
2011-2015,optimistic_ES,GB,5981,39615,0.1509781648365518,3
2011-2015,optimistic_ES,BG,17,39615,0.00042913037990660103,26
2011-2015,optimistic_ES,PT,570,39615,0.014388489208633094,12
2011-2015,optimistic_ES,SK,42,39615,0.0010602044680045437,23
2011-2015,optimistic_ES,FI,562,39615,0.014186545500441752,13
2011-2015,optimistic_ES,IE,462,39615,0.011662249148049982,14
2011-2015,optimistic_ES,SI,71,39615,0.0017922504101981573,20
2011-2015,optimistic_ES,LU,144,39615,0.0036349867474441497,18
2011-2015,optimistic_ES,LV,19,39615,0.00047961630695443646,25
2011-2015,optimistic_ES,EE,71,39615,0.0017922504101981573,20
2011-2015,optimistic_ES,HR,32,39615,0.0008077748327653667,24
2011-2015,optimistic_ES,FR,4508,39615,0.11379527956582103,4
2011-2015,optimistic_ES,DK,632,39615,0.015953552947115993,11
2011-2015,optimistic_ES,IT,2560,39615,0.06462198662122934,5
2011-2015,optimistic_ES,CZ,373,39615,0.009415625394421305,15
2011-2015,optimistic_ES,LT,3,39615,7.572889057175312e-05,28
2011-2015,optimistic_ES,SE,1009,39615,0.02547015019563297,8
2011-2015,optimistic_ES,PL,284,39615,0.007169001640792629,16
2011-2015,pessimistic_ES,AT,1106,39615,0.027918717657452984,7
2011-2015,pessimistic_ES,MT,9,39615,0.00022718667171525936,27
2011-2015,pessimistic_ES,BE,878,39615,0.02216332197399975,9
2011-2015,pessimistic_ES,RO,100,39615,0.002524296352391771,19
2011-2015,pessimistic_ES,NL,1742,39615,0.04397324245866465,6
2011-2015,pessimistic_ES,DE,6970,39615,0.17594345576170642,1
2011-2015,pessimistic_ES,GR,664,39615,0.016761327779881357,10
2011-2015,pessimistic_ES,ES,1909,39615,0.0481888173671589,5
2011-2015,pessimistic_ES,CY,55,39615,0.001388362993815474,22
2011-2015,pessimistic_ES,HU,180,39615,0.004543733434305188,17
2011-2015,pessimistic_ES,GB,5981,39615,0.1509781648365518,2
2011-2015,pessimistic_ES,BG,17,39615,0.00042913037990660103,26
2011-2015,pessimistic_ES,PT,570,39615,0.014388489208633094,12
2011-2015,pessimistic_ES,SK,42,39615,0.0010602044680045437,23
2011-2015,pessimistic_ES,FI,562,39615,0.014186545500441752,13
2011-2015,pessimistic_ES,IE,462,39615,0.011662249148049982,14
2011-2015,pessimistic_ES,SI,71,39615,0.0017922504101981573,20
2011-2015,pessimistic_ES,LU,144,39615,0.0036349867474441497,18
2011-2015,pessimistic_ES,LV,19,39615,0.00047961630695443646,25
2011-2015,pessimistic_ES,EE,71,39615,0.0017922504101981573,20
2011-2015,pessimistic_ES,HR,32,39615,0.0008077748327653667,24
2011-2015,pessimistic_ES,FR,4508,39615,0.11379527956582103,3
2011-2015,pessimistic_ES,DK,632,39615,0.015953552947115993,11
2011-2015,pessimistic_ES,IT,2560,39615,0.06462198662122934,4
2011-2015,pessimistic_ES,CZ,373,39615,0.009415625394421305,15
2011-2015,pessimistic_ES,LT,3,39615,7.572889057175312e-05,28
2011-2015,pessimistic_ES,SE,1009,39615,0.02547015019563297,8
2011-2015,pessimistic_ES,PL,284,39615,0.007169001640792629,16
2016-2020,observed,AT,1469,31263,0.04698845280363369,7
2016-2020,observed,MT,14,31263,0.0004478137094968493,26
2016-2020,observed,BE,903,31263,0.02888398426254678,10
2016-2020,observed,RO,126,31263,0.004030323385471644,19
2016-2020,observed,NL,2370,31263,0.0758084636791095,5
2016-2020,observed,DE,8270,31263,0.264529955538496,2
2016-2020,observed,GR,596,31263,0.019064069347151585,13
2016-2020,observed,ES,1536,31263,0.049131561270511465,6
2016-2020,observed,CY,73,31263,0.0023350286280907143,22
2016-2020,observed,HU,165,31263,0.005277804433355724,18
2016-2020,observed,GB,8966,31263,0.2867926942391965,1
2016-2020,observed,BG,25,31263,0.0007996673383872309,25
2016-2020,observed,PT,557,31263,0.017816588299267504,14
2016-2020,observed,SK,68,31263,0.002175095160413268,23
2016-2020,observed,FI,842,31263,0.026932795956881937,11
2016-2020,observed,IE,445,31263,0.01423407862329271,16
2016-2020,observed,SI,93,31263,0.002974762498800499,20
2016-2020,observed,LU,217,31263,0.006941112497201164,17
2016-2020,observed,LV,12,31263,0.0003838403224258708,27
2016-2020,observed,EE,86,31263,0.0027508556440520742,21
2016-2020,observed,HR,30,31263,0.000959600806064677,24
2016-2020,observed,FR,4674,31263,0.1495058055848767,3
2016-2020,observed,DK,1021,31263,0.03265841409973451,9
2016-2020,observed,IT,2796,31263,0.08943479512522791,4
2016-2020,observed,CZ,615,31263,0.01967181652432588,12
2016-2020,observed,LT,5,31263,0.00015993346767744618,28
2016-2020,observed,SE,1332,31263,0.04260627578927166,8
2016-2020,observed,PL,550,31263,0.01759268144451908,15
2016-2020,optimistic_ES,AT,1469,50705,0.028971501824277685,7
2016-2020,optimistic_ES,MT,14,50705,0.0002761068928113598,26
2016-2020,optimistic_ES,BE,903,50705,0.01780889458633271,10
2016-2020,optimistic_ES,RO,126,50705,0.0024849620353022384,19
2016-2020,optimistic_ES,NL,2370,50705,0.0467409525687802,6
2016-2020,optimistic_ES,DE,8270,50705,0.16310028596785328,3
2016-2020,optimistic_ES,GR,596,50705,0.01175426486539789,13
2016-2020,optimistic_ES,ES,20978,50705,0.41372645695690763,1
2016-2020,optimistic_ES,CY,73,50705,0.0014397002268020905,22
2016-2020,optimistic_ES,HU,165,50705,0.0032541169509910264,18
2016-2020,optimistic_ES,GB,8966,50705,0.17682674292476086,2
2016-2020,optimistic_ES,BG,25,50705,0.0004930480228774283,25
2016-2020,optimistic_ES,PT,557,50705,0.010985109949709101,14
2016-2020,optimistic_ES,SK,68,50705,0.001341090622226605,23
2016-2020,optimistic_ES,FI,842,50705,0.016605857410511782,11
2016-2020,optimistic_ES,IE,445,50705,0.008776254807218224,16
2016-2020,optimistic_ES,SI,93,50705,0.001834138645104033,20
2016-2020,optimistic_ES,LU,217,50705,0.004279656838576077,17
2016-2020,optimistic_ES,LV,12,50705,0.00023666305098116557,27
2016-2020,optimistic_ES,EE,86,50705,0.0016960851986983533,21
2016-2020,optimistic_ES,HR,30,50705,0.0005916576274529139,24
2016-2020,optimistic_ES,FR,4674,50705,0.092180258357164,4
2016-2020,optimistic_ES,DK,1021,50705,0.02013608125431417,9
2016-2020,optimistic_ES,IT,2796,50705,0.055142490878611575,5
2016-2020,optimistic_ES,CZ,615,50705,0.012128981362784735,12
