scenario,window,country_code,count,eu_den,share,rank
historical_Astar_A,2011-2015,DK,632,26136,0.024181205999387816,11
historical_Astar_A,2011-2015,FI,562,26136,0.02150290786654423,13
historical_Astar_A,2011-2015,IE,462,26136,0.017676767676767676,14
historical_Astar_A,2011-2015,DE,6970,26136,0.26668197122742576,1
historical_Astar_A,2011-2015,BG,17,26136,0.0006504438322620141,26
historical_Astar_A,2011-2015,ES,1909,26136,0.0730410162228344,5
historical_Astar_A,2011-2015,HR,32,26136,0.001224364860728497,24
historical_Astar_A,2011-2015,GR,664,26136,0.025405570860116314,10
historical_Astar_A,2011-2015,NL,1742,26136,0.06665136210590757,6
historical_Astar_A,2011-2015,PT,570,26136,0.021808999081726354,12
historical_Astar_A,2011-2015,CY,55,26136,0.0021043771043771043,22
historical_Astar_A,2011-2015,PL,284,26136,0.010866238138965412,16
historical_Astar_A,2011-2015,AT,1106,26136,0.04231711049892868,7
