window,denominator_group,country_code,count,denominator,share
2006-2010,world_resolved,LB,14,63820,0.00021936696960200565
2006-2010,world_resolved,LI,0,63820,0.0
2006-2010,world_resolved,LK,4,63820,6.267627702914446e-05
2006-2010,world_resolved,LS,0,63820,0.0
2006-2010,world_resolved,LT,3,63820,4.700720777185835e-05
2006-2010,world_resolved,LU,69,63820,0.001081165778752742
2006-2010,world_resolved,LV,6,63820,9.40144155437167e-05
2006-2010,world_resolved,LY,0,63820,0.0
2006-2010,world_resolved,MA,10,63820,0.00015669069257286117
2006-2010,world_resolved,MD,1,63820,1.5669069257286116e-05
2006-2010,world_resolved,ME,1,63820,1.5669069257286116e-05
2006-2010,world_resolved,MG,0,63820,0.0
2006-2010,world_resolved,MK,6,63820,9.40144155437167e-05
2006-2010,world_resolved,ML,0,63820,0.0
2006-2010,world_resolved,MM,1,63820,1.5669069257286116e-05
2006-2010,world_resolved,MN,0,63820,0.0
2006-2010,world_resolved,MO,17,63820,0.000266374177373864
2006-2010,world_resolved,MQ,0,63820,0.0
2006-2010,world_resolved,MT,8,63820,0.00012535255405828893
2006-2010,world_resolved,MU,0,63820,0.0
2006-2010,world_resolved,MW,0,63820,0.0
2006-2010,world_resolved,MX,205,63820,0.003212159197743654
2006-2010,world_resolved,MY,31,63820,0.0004857411469758696
2006-2010,world_resolved,MZ,0,63820,0.0
2006-2010,world_resolved,NC,1,63820,1.5669069257286116e-05
2006-2010,world_resolved,NE,0,63820,0.0
2006-2010,world_resolved,NG,12,63820,0.0001880288310874334
2006-2010,world_resolved,NI,0,63820,0.0
2006-2010,world_resolved,NL,1614,63820,0.025289877781259792
2006-2010,world_resolved,NO,293,63820,0.0045910372923848326
2006-2010,world_resolved,NP,1,63820,1.5669069257286116e-05
2006-2010,world_resolved,NZ,241,63820,0.0037762456910059544
2006-2010,world_resolved,OM,5,63820,7.834534628643058e-05
2006-2010,world_resolved,PA,3,63820,4.700720777185835e-05
2006-2010,world_resolved,PE,0,63820,0.0
2006-2010,world_resolved,PF,1,63820,1.5669069257286116e-05
2006-2010,world_resolved,PH,9,63820,0.00014102162331557506
2006-2010,world_resolved,PK,71,63820,0.0011125039172673143
2006-2010,world_resolved,PL,210,63820,0.0032905045440300845
2006-2010,world_resolved,PR,8,63820,0.00012535255405828893
2006-2010,world_resolved,PS,5,63820,7.834534628643058e-05
2006-2010,world_resolved,PT,411,63820,0.006439987464744594
2006-2010,world_resolved,PW,0,63820,0.0
2006-2010,world_resolved,PY,1,63820,1.5669069257286116e-05
2006-2010,world_resolved,QA,10,63820,0.00015669069257286117
2006-2010,world_resolved,RE,0,63820,0.0
2006-2010,world_resolved,RO,61,63820,0.0009558132246944532
2006-2010,world_resolved,RS,19,63820,0.00029771231588843623
2006-2010,world_resolved,RU,129,63820,0.0020213099341899092
2006-2010,world_resolved,RW,0,63820,0.0
2006-2010,world_resolved,SA,33,63820,0.0005170792854904419
2006-2010,world_resolved,SD,0,63820,0.0
2006-2010,world_resolved,SE,735,63820,0.011516765904105296
2006-2010,world_resolved,SG,1219,63820,0.019100595424631776
2006-2010,world_resolved,SI,71,63820,0.0011125039172673143
2006-2010,world_resolved,SK,29,63820,0.0004544030084612974
2006-2010,world_resolved,SL,0,63820,0.0
2006-2010,world_resolved,SM,0,63820,0.0
2006-2010,world_resolved,SN,0,63820,0.0
2006-2010,world_resolved,SO,0,63820,0.0
2006-2010,world_resolved,SS,25,63820,0.0003917267314321529
2006-2010,world_resolved,SY,1,63820,1.5669069257286116e-05
2006-2010,world_resolved,SZ,0,63820,0.0
2006-2010,world_resolved,TD,0,63820,0.0
2006-2010,world_resolved,TG,0,63820,0.0
2006-2010,world_resolved,TH,63,63820,0.0009871513632090255
2006-2010,world_resolved,TJ,4,63820,6.267627702914446e-05
