window,country_code,count,eu_den,share,rank,coverage_threshold
2011-2015,IE,423,24685,0.017135912497468098,14,0.5
2011-2015,NL,1627,24685,0.06591047194652623,6,0.5
2011-2015,DE,6605,24685,0.2675713996354061,1,0.5
2011-2015,CZ,344,24685,0.01393558841401661,15,0.5
2011-2015,LU,137,24685,0.0055499291067449864,18,0.5
2011-2015,MT,9,24685,0.00036459388292485315,27,0.5
2011-2015,SK,37,24685,0.0014988859631355075,23,0.5
2011-2015,SE,959,24685,0.03884950374721491,8,0.5
2011-2015,RO,96,24685,0.0038890014178651,19,0.5
2011-2015,LT,3,24685,0.00012153129430828438,28,0.5
2016-2020,SI,90,29258,0.0030760817554173216,20,0.5
2016-2020,FI,752,29258,0.02570237200082029,11,0.5
2016-2020,FR,4287,29258,0.14652402761637842,3,0.5
2016-2020,PL,534,29258,0.01825141841547611,14,0.5
2016-2020,BE,867,29258,0.0296329209105202,10,0.5
2016-2020,BG,19,29258,0.0006493950372547679,25,0.5
2016-2020,ES,1479,29258,0.05055027684735799,6,0.5
2016-2020,DK,980,29258,0.033495112447877506,9,0.5
2016-2020,AT,1428,29258,0.0488071638526215,7,0.5
2016-2020,GR,571,29258,0.019516029803814342,13,0.5
2016-2020,PT,532,29258,0.0181830610431335,15,0.5
2016-2020,HR,30,29258,0.0010253605851391072,24,0.5
2016-2020,GB,8193,29258,0.2800259758014902,1,0.5
2016-2020,EE,81,29258,0.0027684735798755894,21,0.5
2016-2020,LV,12,29258,0.0004101442340556429,27,0.5
2016-2020,CY,72,29258,0.002460865404333857,22,0.5
2016-2020,IT,2719,29258,0.09293184769977442,4,0.5
2016-2020,HU,139,29258,0.004750837377811197,18,0.5
2016-2020,IE,424,29258,0.014491762936632716,16,0.5
2016-2020,NL,2266,29258,0.0774489028641739,5,0.5
2016-2020,DE,7826,29258,0.26748239797662177,2,0.5
2016-2020,CZ,580,29258,0.019823637979356074,12,0.5
2016-2020,LU,214,29258,0.007314238840658965,17,0.5
2016-2020,MT,14,29258,0.0004785016063982501,26,0.5
2016-2020,SK,66,29258,0.002255793287306036,23,0.5
2016-2020,SE,1270,29258,0.04340693143755554,8,0.5
2016-2020,RO,116,29258,0.003964727595871215,19,0.5
2016-2020,LT,5,29258,0.00017089343085651787,28,0.5
2021-2025,SI,119,45337,0.0026247877009947726,21,0.5
2021-2025,FI,1033,45337,0.02278492180779496,12,0.5
2021-2025,FR,6018,45337,0.13273926373602135,3,0.5
2021-2025,PL,1127,45337,0.024858283521185787,11,0.5
2021-2025,BE,1197,45337,0.02640227628647683,10,0.5
2021-2025,BG,94,45337,0.0020733617133908287,24,0.5
2021-2025,ES,1924,45337,0.04243774400599951,8,0.5
2021-2025,DK,1647,45337,0.036327944063347814,9,0.5
2021-2025,AT,2182,45337,0.048128460198072216,6,0.5
2021-2025,GR,636,45337,0.01402827712464433,14,0.5
2021-2025,PT,600,45337,0.01323422370249465,15,0.5
2021-2025,HR,51,45337,0.0011249090147120453,25,0.5
2021-2025,GB,14107,45337,0.31115865628515343,1,0.5
2021-2025,EE,123,45337,0.0027130158590114033,20,0.5
2021-2025,LV,10,45337,0.00022057039504157753,26,0.5
2021-2025,CY,97,45337,0.002139532831903302,23,0.5
2021-2025,IT,3976,45337,0.08769878906853122,4,0.5
2021-2025,HU,163,45337,0.0035952974391777136,18,0.5
2021-2025,IE,522,45337,0.011513774621170347,16,0.5
2021-2025,NL,3735,45337,0.08238304254802921,5,0.5
2021-2025,DE,12582,45337,0.2775216710413128,2,0.5
2021-2025,CZ,753,45337,0.016608950746630786,13,0.5
2021-2025,LU,314,45337,0.006925910404305534,17,0.5
2021-2025,MT,9,45337,0.00019851335553741978,28,0.5
2021-2025,SK,104,45337,0.002293932108432406,22,0.5
2021-2025,SE,2103,45337,0.04638595407724375,7,0.5
2021-2025,RO,132,45337,0.002911529214548823,19,0.5
2021-2025,LT,10,45337,0.00022057039504157753,26,0.5
2001-2005,SI,57,12452,0.00457757789913267,18,0.7
2001-2005,FI,292,12452,0.023450048185030516,10,0.7
2001-2005,FR,2317,12452,0.18607452618053325,3,0.7
2001-2005,PL,145,12452,0.011644715708319948,16,0.7
2001-2005,BE,411,12452,0.033006745904272404,8,0.7
2001-2005,BG,20,12452,0.0016061676839061998,22,0.7
2001-2005,ES,856,12452,0.06874397687118536,6,0.7
2001-2005,DK,238,12452,0.01911339543848378,12,0.7
2001-2005,AT,277,12452,0.02224542242210087,11,0.7
2001-2005,GR,315,12452,0.025297141021522647,9,0.7
2001-2005,PT,191,12452,0.015338901381304209,13,0.7
2001-2005,HR,9,12452,0.0007227754577577899,26,0.7
2001-2005,GB,2482,12452,0.1993254095727594,2,0.7
2001-2005,EE,14,12452,0.0011243173787343398,23,0.7
2001-2005,LV,11,12452,0.0008833922261484099,25,0.7
2001-2005,CY,23,12452,0.0018470928364921297,21,0.7
2001-2005,IT,1401,12452,0.1125120462576293,4,0.7
2001-2005,HU,121,12452,0.009717314487632508,17,0.7
2001-2005,IE,185,12452,0.014857051076132348,14,0.7
2001-2005,NL,940,12452,0.0754898811435914,5,0.7
2001-2005,DE,2747,12452,0.22060713138451654,1,0.7
2001-2005,CZ,152,12452,0.012206874397687119,15,0.7
2001-2005,LU,12,12452,0.0009637006103437199,24,0.7
2001-2005,MT,1,12452,8.030838419531e-05,28,0.7
2001-2005,SK,28,12452,0.0022486347574686796,19,0.7
2001-2005,SE,547,12452,0.04392868615483456,7,0.7
2001-2005,RO,27,12452,0.0021683263732733696,20,0.7
2001-2005,LT,4,12452,0.00032123353678124,27,0.7
2006-2010,SI,51,19748,0.0025825400040510433,20,0.7
2006-2010,FI,465,19748,0.0235466882722301,11,0.7
2006-2010,FR,3707,19748,0.18771521166700425,3,0.7
2006-2010,PL,193,19748,0.009773141583957869,16,0.7
