venue,window,area,level,total_papers,resolved_papers,coverage
USENIX,2021-2025,Sistemas,A,373,14.0,0.03753351206434316
USENIX-Security,2001-2005,Seguridad,A*,122,19.0,0.1557377049180328
USENIX-Security,2006-2010,Seguridad,A*,128,16.0,0.125
USENIX-Security,2011-2015,Seguridad,A*,257,69.0,0.26848249027237353
USENIX-Security,2016-2020,Seguridad,A*,530,232.0,0.4377358490566038
USENIX-Security,2021-2025,Seguridad,A*,1782,161.0,0.09034792368125702
VLDB,2001-2005,Bases de datos,A*,637,392.0,0.6153846153846154
VLDB,2006-2010,Bases de datos,A*,831,585.0,0.703971119133574
VLDB,2011-2015,Bases de datos,A*,1117,952.0,0.8522829006266786
VLDB,2016-2020,Bases de datos,A*,1180,1018.0,0.8627118644067797
VLDB,2021-2025,Bases de datos,A*,2027,1848.0,0.911692155895412
VR,2001-2005,HCI,A*,310,205.0,0.6612903225806451
VR,2006-2010,HCI,A*,356,336.0,0.9438202247191011
VR,2011-2015,HCI,A*,494,482.0,0.9757085020242915
VR,2016-2020,HCI,A*,1113,1068.0,0.9595687331536388
VR,2021-2025,HCI,A*,443,438.0,0.9887133182844243
WACV,2001-2005,IA / ML,A,55,54.0,0.9818181818181818
WACV,2006-2010,IA / ML,A,199,191.0,0.9597989949748744
WACV,2011-2015,IA / ML,A,538,530.0,0.9851301115241635
WACV,2016-2020,IA / ML,A,1158,1132.0,0.9775474956822107
WACV,2021-2025,IA / ML,A,3220,3133.0,0.9729813664596273
WSDM,2006-2010,Bases de datos,A,103,102.0,0.9902912621359223
WSDM,2011-2015,Bases de datos,A,416,416.0,1.0
WSDM,2016-2020,Bases de datos,A,563,563.0,1.0
WSDM,2021-2025,Bases de datos,A,880,877.0,0.9965909090909091
WWW,2001-2005,Bases de datos,A*,383,364.0,0.9503916449086162
WWW,2006-2010,Bases de datos,A*,1119,1101.0,0.9839142091152815
WWW,2011-2015,Bases de datos,A*,546,546.0,1.0
WWW,2016-2020,Bases de datos,A*,1195,1177.0,0.9849372384937238
WWW,2021-2025,Bases de datos,A*,2008,2008.0,1.0
