scenario,window,area,ES,EU27_UK,ES_share
WWW_as_IAML,2016-2020,Sistemas,172,2576,0.06677018633540373
WWW_as_IAML,2016-2020,Teoría,58,2689,0.021569356638155446
WWW_as_IAML,2021-2025,Bases de datos,136,3311,0.04107520386590154
WWW_as_IAML,2021-2025,HCI,99,3734,0.026513122656668452
WWW_as_IAML,2021-2025,IA / ML,1100,28372,0.03877061892006203
WWW_as_IAML,2021-2025,IA/ML,22,325,0.06769230769230769
WWW_as_IAML,2021-2025,Ing. del Software,154,2715,0.056721915285451195
WWW_as_IAML,2021-2025,Redes,147,1006,0.14612326043737575
WWW_as_IAML,2021-2025,Seguridad,70,1556,0.04498714652956298
WWW_as_IAML,2021-2025,Sistemas,193,2832,0.0681497175141243
WWW_as_IAML,2021-2025,Teoría,69,3187,0.02165045497332915
baseline,2001-2005,Bases de datos,70,1314,0.0532724505327245
baseline,2001-2005,Bioinformática,0,9,0.0
baseline,2001-2005,HCI,14,1061,0.013195098963242224
baseline,2001-2005,IA / ML,438,5226,0.08381171067738231
baseline,2001-2005,IA/ML,13,130,0.1
baseline,2001-2005,Ing. del Software,81,1468,0.055177111716621256
baseline,2001-2005,Redes,9,429,0.02097902097902098
baseline,2001-2005,Seguridad,2,455,0.004395604395604396
baseline,2001-2005,Sistemas,234,2331,0.10038610038610038
baseline,2001-2005,Teoría,106,1817,0.058337919647771054
baseline,2006-2010,Bases de datos,222,2471,0.08984216916228248
baseline,2006-2010,Bioinformática,0,14,0.0
baseline,2006-2010,HCI,64,1889,0.03388035997882478
baseline,2006-2010,IA / ML,806,9016,0.08939662821650399
baseline,2006-2010,IA/ML,23,246,0.09349593495934959
baseline,2006-2010,Ing. del Software,147,2424,0.06064356435643564
baseline,2006-2010,Redes,57,934,0.061027837259100645
baseline,2006-2010,Seguridad,30,782,0.03836317135549872
baseline,2006-2010,Sistemas,264,2754,0.09586056644880174
baseline,2006-2010,Teoría,67,1518,0.04413702239789196
baseline,2011-2015,Bases de datos,295,2748,0.10735080058224163
baseline,2011-2015,HCI,122,2911,0.04190999656475438
baseline,2011-2015,IA / ML,791,10033,0.07883982856573309
baseline,2011-2015,IA/ML,58,764,0.07591623036649214
baseline,2011-2015,Ing. del Software,225,3258,0.06906077348066299
baseline,2011-2015,Redes,93,1000,0.093
baseline,2011-2015,Seguridad,52,965,0.0538860103626943
baseline,2011-2015,Sistemas,208,2484,0.08373590982286634
baseline,2011-2015,Teoría,65,1973,0.03294475418144957
baseline,2016-2020,Bases de datos,147,2815,0.0522202486678508
baseline,2016-2020,HCI,66,3291,0.020054694621695533
baseline,2016-2020,IA / ML,693,12755,0.05433163465307723
baseline,2016-2020,IA/ML,92,2546,0.03613511390416339
baseline,2016-2020,Ing. del Software,168,2591,0.06483983018139715
baseline,2016-2020,Redes,86,908,0.0947136563876652
baseline,2016-2020,Seguridad,54,1092,0.04945054945054945
baseline,2016-2020,Sistemas,172,2576,0.06677018633540373
baseline,2016-2020,Teoría,58,2689,0.021569356638155446
baseline,2021-2025,Bases de datos,145,3385,0.04283604135893648
baseline,2021-2025,HCI,99,3734,0.026513122656668452
baseline,2021-2025,IA / ML,974,24861,0.039177828727726155
baseline,2021-2025,IA/ML,139,3762,0.03694843168527379
baseline,2021-2025,Ing. del Software,154,2715,0.056721915285451195
baseline,2021-2025,Redes,147,1006,0.14612326043737575
baseline,2021-2025,Seguridad,70,1556,0.04498714652956298
baseline,2021-2025,Sistemas,193,2832,0.0681497175141243
baseline,2021-2025,Teoría,69,3187,0.02165045497332915
