venue,priority_level,priority_score,inferred_area,ever_astar,years_present,active_article_years_required,recommended_action,manual_include,manual_area,manual_dblp_key_or_booktitle,manual_notes
ICMCS,MEDIUM,13.4,Sin clasificar,False,5,12,Revisión manual antes de extraer DBLP,,,,
ICSC2,MEDIUM,13.4,Sin clasificar,False,5,12,Revisión manual antes de extraer DBLP,,,,
ICSPC,MEDIUM,13.4,Sin clasificar,False,5,12,Revisión manual antes de extraer DBLP,,,,
ICTL,MEDIUM,13.4,Sin clasificar,False,5,12,Revisión manual antes de extraer DBLP,,,,
IEEETKDE,MEDIUM,13.4,Sin clasificar,False,5,12,Revisión manual antes de extraer DBLP,,,,
ILPS,MEDIUM,13.4,Sin clasificar,False,5,12,Revisión manual antes de extraer DBLP,,,,
IM,MEDIUM,13.4,Sin clasificar,False,5,12,Revisión manual antes de extraer DBLP,,,,
ISD,MEDIUM,13.4,Sin clasificar,False,5,12,Revisión manual antes de extraer DBLP,,,,
ISR,MEDIUM,13.4,Sin clasificar,False,5,12,Revisión manual antes de extraer DBLP,,,,
ISSCC,MEDIUM,13.4,Sin clasificar,False,5,12,Revisión manual antes de extraer DBLP,,,,
MATES ENASE,MEDIUM,13.4,Sin clasificar,False,5,12,Revisión manual antes de extraer DBLP,,,,
MMCN,MEDIUM,13.4,Sin clasificar,False,5,12,Revisión manual antes de extraer DBLP,,,,
NetStore,MEDIUM,13.4,Sin clasificar,False,5,12,Revisión manual antes de extraer DBLP,,,,
OPENARCH,MEDIUM,13.4,Sin clasificar,False,5,12,Revisión manual antes de extraer DBLP,,,,
PT,MEDIUM,13.4,Sin clasificar,False,5,12,Revisión manual antes de extraer DBLP,,,,
RTA,MEDIUM,13.4,Sin clasificar,False,5,12,Revisión manual antes de extraer DBLP,,,,
SDSDI,MEDIUM,13.4,Sin clasificar,False,5,12,Revisión manual antes de extraer DBLP,,,,
SMS,MEDIUM,13.4,Sin clasificar,False,5,12,Revisión manual antes de extraer DBLP,,,,
SSR,MEDIUM,13.4,Sin clasificar,False,5,12,Revisión manual antes de extraer DBLP,,,,
VLSI,MEDIUM,13.4,Sin clasificar,False,5,12,Revisión manual antes de extraer DBLP,,,,
CBSE,MEDIUM,13.2,Ingeniería del Software / Servicios,False,2,6,Revisión manual antes de extraer DBLP,,,,
DocEng,MEDIUM,13.2,HCI / CSCW / Documentos,False,2,6,Revisión manual antes de extraer DBLP,,,,
TEI,MEDIUM,13.0,Sin clasificar,False,6,10,Revisión manual antes de extraer DBLP,,,,
WG,MEDIUM,13.0,Sin clasificar,False,6,10,Revisión manual antes de extraer DBLP,,,,
AID,MEDIUM,12.4,Sin clasificar,False,5,12,Revisión manual antes de extraer DBLP,,,,
AIIM,MEDIUM,12.4,Sin clasificar,False,5,12,Revisión manual antes de extraer DBLP,,,,
ICSR,MEDIUM,12.0,Sin clasificar,False,4,10,Revisión manual antes de extraer DBLP,,,,
SPICE,MEDIUM,12.0,Sin clasificar,False,4,10,Revisión manual antes de extraer DBLP,,,,
TPDL,MEDIUM,12.0,Sin clasificar,False,4,10,Revisión manual antes de extraer DBLP,,,,
AIME,MEDIUM,11.8,Bioinformática / Informática médica,False,3,9,Revisión manual antes de extraer DBLP,,,,
ISMM,MEDIUM,11.6,Sin clasificar,False,5,8,Revisión manual antes de extraer DBLP,,,,
NCA,MEDIUM,11.6,Sin clasificar,False,5,8,Revisión manual antes de extraer DBLP,,,,
TrustCom,MEDIUM,11.6,Sin clasificar,False,5,8,Revisión manual antes de extraer DBLP,,,,
VEE,MEDIUM,11.6,Sin clasificar,False,5,8,Revisión manual antes de extraer DBLP,,,,
AMCIS,MEDIUM,11.4,Sistemas de información,False,4,7,Revisión manual antes de extraer DBLP,,,,
DESRIST,MEDIUM,11.4,Sistemas de información,False,4,7,Revisión manual antes de extraer DBLP,,,,
HICSS,MEDIUM,11.4,Sistemas de información,False,4,7,Revisión manual antes de extraer DBLP,,,,
CAIP,MEDIUM,11.0,Visión / Imagen / Gráficos,False,1,5,Revisión manual antes de extraer DBLP,,,,
CGI,MEDIUM,11.0,Visión / Imagen / Gráficos,False,1,5,Revisión manual antes de extraer DBLP,,,,
CPAIOR,MEDIUM,11.0,Teoría / Métodos formales / PL,False,1,5,Revisión manual antes de extraer DBLP,,,,
