venue,conference_name,core_year,level,source_files,n_raw_rows,had_conflict,level_raw_values,policy_2010
MOBIHOC,ACM Symposium on Mobile Ad Hoc Networking and Computing,2008,A,COREA-2008.csv,1,False,A,infer_2008_2013
MODELS,"International Conference on Model Driven Engineering Languages and Systems (Previously UML, changed in 2005)",2008,A,COREA-2008.csv,1,False,A,infer_2008_2013
MSWIM,"ACM/IEEE International Conference on Modelling, Analysis and Simulation of Wireless and Mobile Systems",2008,A,COREA-2008.csv,1,False,A,infer_2008_2013
MassPar,Symposium on Frontiers of Massively Parallel Processing,2008,A,COREA-2008.csv,1,False,A,infer_2008_2013
Middleware,ACM/IFIP/USENIX International Middleware Conference,2008,A,COREA-2008.csv,1,False,A,infer_2008_2013
MobileHCI,International Conference on Human-Computer Interaction with Mobile Devices and Services,2008,A,COREA-2008.csv,1,False,A,infer_2008_2013
Mobiquitous,International Conference on Mobile and Ubiquitous Systems: Networks and Services,2008,A,COREA-2008.csv,1,False,A,infer_2008_2013
Mobisys,"ACM SIGMOBILE International Conference on Mobile Systems, Applications and Services",2008,A,COREA-2008.csv,1,False,A,infer_2008_2013
NAACL,North American Association for Computational Linguistics,2008,A,COREA-2008.csv,1,False,A,infer_2008_2013
NDSS,Usenix Network and Distributed System Security Symposium,2008,A,COREA-2008.csv,1,False,A,infer_2008_2013
NOSSDAV,Network and Operating System Support for Digital Audio and Video,2008,A,COREA-2008.csv,1,False,A,infer_2008_2013
NSDI,"Symposium on Networked Systems, Design and Implementation",2008,A,COREA-2008.csv,1,False,A,infer_2008_2013
NetStore,Network Storage Symposium,2008,A,COREA-2008.csv,1,False,A,infer_2008_2013
Networking,IFIP International Conference on Networking,2008,A,COREA-2008.csv,1,False,A,infer_2008_2013
OPENARCH,IEEE Conference on Open Architecture and Network Programming,2008,A,COREA-2008.csv,1,False,A,infer_2008_2013
P2P,IEEE International Conference on Peer to Peer Computing,2008,A,COREA-2008.csv,1,False,A,infer_2008_2013
PACT,International Conference on Parallel Architecture and Compilation Techniques,2008,A,COREA-2008.csv,1,False,A,infer_2008_2013
PADL,Practical Aspects of Declarative Languages,2008,A,COREA-2008.csv,1,False,A,infer_2008_2013
PADS,ACM SIGSIM Conference on Principles of Advanced Discrete Simulation (was Parallel and Distributed Simulation),2008,A,COREA-2008.csv,1,False,A,infer_2008_2013
PAKDD,Pacific-Asia Conference on Knowledge Discovery and Data Mining,2008,A,COREA-2008.csv,1,False,A,infer_2008_2013
PDC,Participatory Design Conference,2008,A,COREA-2008.csv,1,False,A,infer_2008_2013
PEPM,ACM SIGPLAN Workshop on Partial Evaluation and Program Manipulation,2008,A,COREA-2008.csv,1,False,A,infer_2008_2013
PERFORMANCE,"IFIP International Symposium on Computing Performance, Modelling, Measurement and Evaluation",2008,A,COREA-2008.csv,1,False,A,infer_2008_2013
PG,Pacific Conference on Computer Graphics and Applications,2008,A,COREA-2008.csv,1,False,A,infer_2008_2013
PPSN,Parallel Problem Solving from Nature,2008,A,COREA-2008.csv,1,False,A,infer_2008_2013
PPoPP,Principles and Practice of Parallel Programming,2008,A,COREA-2008.csv,1,False,A,infer_2008_2013
PRO-VE,IFIP Working Conferences on Virtual Enterprises,2008,A,COREA-2008.csv,1,False,A,infer_2008_2013
PT,Performance Tools - International Conference on Model Techniques & Tools for CPE,2008,A,COREA-2008.csv,1,False,A,infer_2008_2013
QRS,"Software Quality, Reliability, and Security (was International Conference on Quality Software, QSIC, that merged with SERE 2015)",2008,A,COREA-2008.csv,1,False,A,infer_2008_2013
QoSA,Conference on the Quality of Software Architectures,2008,A,COREA-2008.csv,1,False,A,infer_2008_2013
RAID,"The International Symposium on Research in Attacks, Intrusions and Defenses (was International Symposium on Recent Advances in Intrusion Detection)",2008,A,COREA-2008.csv,1,False,A,infer_2008_2013
RANDOM,International Workshop on Randomization and Computation,2008,A,COREA-2008.csv,1,False,A,infer_2008_2013
RE,IEEE International Requirements Engineering Conference,2008,A,COREA-2008.csv,1,False,A,infer_2008_2013
RECOMB,International Conference on Computational Molecular Biology,2008,A,COREA-2008.csv,1,False,A,infer_2008_2013
RTA,International Conference on Rewriting Techniques and Applications (now merged with FSCD Formal Structures for Computation and Deduction),2008,A,COREA-2008.csv,1,False,A,infer_2008_2013
RTAS,IEEE Real-Time and Embedded Technology and Applications Symposium,2008,A,COREA-2008.csv,1,False,A,infer_2008_2013
RoboCup,Robot Soccer World Cup,2008,A,COREA-2008.csv,1,False,A,infer_2008_2013
SARA,"Symposium on Abstraction, Reformulation and Approximation",2008,A,COREA-2008.csv,1,False,A,infer_2008_2013
SAS,Static Analysis Symposium,2008,A,COREA-2008.csv,1,False,A,infer_2008_2013
SAT,International Conference on Theory and Applications of Satisfiability Testing,2008,A,COREA-2008.csv,1,False,A,infer_2008_2013
SC,"International Conference for High Performance Computing, Networking, Storage and Analysis (was Supercomputing Conference)",2008,A,COREA-2008.csv,1,False,A,infer_2008_2013
SCA,ACM SIGGRAPH/Eurographics Symposium on Computer Animation,2008,A,COREA-2008.csv,1,False,A,infer_2008_2013
SCOPES,International Workshop on Software and Compilers for Embedded Systems,2008,A,COREA-2008.csv,1,False,A,infer_2008_2013
SDM,SIAM International Conference on Data Mining,2008,A,COREA-2008.csv,1,False,A,infer_2008_2013
SDSDI,Unix Symposium on Operating Systems Design and Implementation,2008,A,COREA-2008.csv,1,False,A,infer_2008_2013
SIGCSE,ACM Special Interest Group on Computer Science Education Conference,2008,A,COREA-2008.csv,1,False,A,infer_2008_2013
SMS,IEEE International Symposium on Software Metrics,2008,A,COREA-2008.csv,1,False,A,infer_2008_2013
SP,IEEE Symposium on Security and Privacy,2008,A,COREA-2008.csv,1,False,A,infer_2008_2013
SPAA,Symposium on Parallelism in Algorithms and Architectures,2008,A,COREA-2008.csv,1,False,A,infer_2008_2013
SPICE,Software Process Improvement and Capability Determination,2008,A,COREA-2008.csv,1,False,A,infer_2008_2013
SRDS,Symposium on Reliable Distributed Systems,2008,A,COREA-2008.csv,1,False,A,infer_2008_2013
SSDBM,International Conference on Scientific and Statistical Data Base Management,2008,A,COREA-2008.csv,1,False,A,infer_2008_2013
SSPR,Structural and Syntactical Pattern Recognition,2008,A,COREA-2008.csv,1,False,A,infer_2008_2013
SSR,ACM Symposium on Software Reusability,2008,A,COREA-2008.csv,1,False,A,infer_2008_2013
SSTD,International Symposium on Spatial and Temporal Databases,2008,A,COREA-2008.csv,1,False,A,infer_2008_2013
STACS,International Symposium on Theoretical Aspects of Computer Science,2008,A,COREA-2008.csv,1,False,A,infer_2008_2013
SWAT,Scandinavian Workshop on Algorithm Theory,2008,A,COREA-2008.csv,1,False,A,infer_2008_2013
SoCG,International Symposium on Computational Geometry,2008,A,COREA-2008.csv,1,False,A,infer_2008_2013
TABLEAUX,International Conference on Theorem Proving with Analytic Tableaux and Related Methods,2008,A,COREA-2008.csv,1,False,A,infer_2008_2013
TACAS,Tools and Algorithms for Construction and Analysis of Systems,2008,A,COREA-2008.csv,1,False,A,infer_2008_2013
TARK,Theoretical Aspects of Rationality and Knowledge,2008,A,COREA-2008.csv,1,False,A,infer_2008_2013
TIME,International Symposium on Temporal Representation and Reasoning,2008,A,COREA-2008.csv,1,False,A,infer_2008_2013
TPDL,International Conference on Theory and Practice of Digital Libraries (was ECDL until 2010),2008,A,COREA-2008.csv,1,False,A,infer_2008_2013
TREC,Text Retrieval Conference,2008,A,COREA-2008.csv,1,False,A,infer_2008_2013
UIST,ACM Symposium on User Interface Software and Technology,2008,A,COREA-2008.csv,1,False,A,infer_2008_2013
USENIX,Usenix Annual Technical Conference,2008,A,COREA-2008.csv,1,False,A,infer_2008_2013
USITS,Unix Symposium on Internet Technologies,2008,A,COREA-2008.csv,1,False,A,infer_2008_2013
VCIP,IEEE International Conference on Visual Communications and Image Processing (was SPIE ... pre 2011),2008,A,COREA-2008.csv,1,False,A,infer_2008_2013
