venue,core_year,level_2008,level_2013,level_2010_inferred,policy_2010,reason
199,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
200,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
202,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
2061,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
2074,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
213,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
218,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
220,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
221,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
225,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
232,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
24,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
25,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
26,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
27,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
279,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
287,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
29,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
294,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
299,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
30,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
307,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
314,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
32,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
325,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
33,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
331,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
334,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
337,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
338,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
343,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
346,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
369,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
37,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
370,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
371,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
376,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
38,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
383,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
387,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
