venue,conference_name,core_year,level,level_in_file,ranking_version_in_file,source_file,source_venue_col,undifferentiated_2010
IJCNLP,International Joint Conference on Natural Language Processing,2008,A,A,CORE2008,COREA-2008.csv,2,False
ESQARU,International Joint Conference on Qualitative and Quantitative Practical Reasoning,2008,A,A,CORE2008,COREA-2008.csv,2,False
ILPS,International Logic Programming Symposium,2008,A,A,CORE2008,COREA-2008.csv,2,False
ISWC,International Semantic Web Conference,2008,A,A,CORE2008,COREA-2008.csv,2,False
CBSE,International Symposium Component-Based Software Engineering,2008,A,A,CORE2008,COREA-2008.csv,2,False
ISAAC,International Symposium on Algorithms and Computation,2008,A,A,CORE2008,COREA-2008.csv,2,False
ATVA,International Symposium on Automated Technology for Verification and Analysis,2008,A,A,CORE2008,COREA-2008.csv,2,False
CGO,International Symposium on Code Generation and Optimization,2008,A,A,CORE2008,COREA-2008.csv,2,False
SoCG,International Symposium on Computational Geometry,2008,A,A,CORE2008,COREA-2008.csv,2,False
DISC,International Symposium on Distributed Computing (was WDAG),2008,A,A,CORE2008,COREA-2008.csv,2,False
ISESE,International Symposium on Empirical Software Engineering,2008,A,A,CORE2008,COREA-2008.csv,2,False
ESEM,International Symposium on Empirical Software Engineering and Measurement,2008,A,A,CORE2008,COREA-2008.csv,2,False
FM,International Symposium on Formal Methods (was Formal Methods Europe FME),2008,A,A,CORE2008,COREA-2008.csv,2,False
FLOPS,International Symposium on Functional and Logic Programming,2008,A,A,CORE2008,COREA-2008.csv,2,False
MICRO,International Symposium on Microarchitecture,2008,A,A,CORE2008,COREA-2008.csv,2,False
ISR,International Symposium on Robotics,2008,A,A,CORE2008,COREA-2008.csv,2,False
ISRR,International Symposium on Robotics Research,2008,A,A,CORE2008,COREA-2008.csv,2,False
ISSRE,International Symposium on Software Reliability Engineering,2008,A,A,CORE2008,COREA-2008.csv,2,False
ISSTA,International Symposium on Software Testing and Analysis,2008,A,A,CORE2008,COREA-2008.csv,2,False
SSTD,International Symposium on Spatial and Temporal Databases,2008,A,A,CORE2008,COREA-2008.csv,2,False
TIME,International Symposium on Temporal Representation and Reasoning,2008,A,A,CORE2008,COREA-2008.csv,2,False
STACS,International Symposium on Theoretical Aspects of Computer Science,2008,A,A,CORE2008,COREA-2008.csv,2,False
APPROX/RANDOM,International Workshop on Approximation Algorithms for Combinatorial Optimization Problems and International Conference on Randomization and Computation,2008,A,A,CORE2008,COREA-2008.csv,2,False
DAS,International Workshop on Document Analysis Systems,2008,A,A,CORE2008,COREA-2008.csv,2,False
MMSP,International Workshop on Multimedia Signal Processing,2008,A,A,CORE2008,COREA-2008.csv,2,False
RANDOM,International Workshop on Randomization and Computation,2008,A,A,CORE2008,COREA-2008.csv,2,False
SCOPES,International Workshop on Software and Compilers for Embedded Systems,2008,A,A,CORE2008,COREA-2008.csv,2,False
IMC,Internet Measurement Conference,2008,A,A,CORE2008,COREA-2008.csv,2,False
Interspeech,Interspeech (combined EuroSpeech and ICSLP in 2000),2008,A,A,CORE2008,COREA-2008.csv,2,False
ISTCS,Israel Symposium on Theory of Computing and Systems,2008,A,A,CORE2008,COREA-2008.csv,2,False
K-CAP,Knowledge capture,2008,A,A,CORE2008,COREA-2008.csv,2,False
LPAR,Logic Programming and Automated Reasoning,2008,A,A,CORE2008,COREA-2008.csv,2,False
JELIA,"Logics in Artificial Intelligence, European Conference",2008,A,A,CORE2008,COREA-2008.csv,2,False
MATES ENASE,"Net Object Days (Includings MATES, ENASE etc.)",2008,A,A,CORE2008,COREA-2008.csv,2,False
NOSSDAV,Network and Operating System Support for Digital Audio and Video,2008,A,A,CORE2008,COREA-2008.csv,2,False
NetStore,Network Storage Symposium,2008,A,A,CORE2008,COREA-2008.csv,2,False
NAACL,North American Association for Computational Linguistics,2008,A,A,CORE2008,COREA-2008.csv,2,False
PG,Pacific Conference on Computer Graphics and Applications,2008,A,A,CORE2008,COREA-2008.csv,2,False
PAKDD,Pacific-Asia Conference on Knowledge Discovery and Data Mining,2008,A,A,CORE2008,COREA-2008.csv,2,False
PPSN,Parallel Problem Solving from Nature,2008,A,A,CORE2008,COREA-2008.csv,2,False
PDC,Participatory Design Conference,2008,A,A,CORE2008,COREA-2008.csv,2,False
PT,Performance Tools - International Conference on Model Techniques & Tools for CPE,2008,A,A,CORE2008,COREA-2008.csv,2,False
PADL,Practical Aspects of Declarative Languages,2008,A,A,CORE2008,COREA-2008.csv,2,False
PPoPP,Principles and Practice of Parallel Programming,2008,A,A,CORE2008,COREA-2008.csv,2,False
RoboCup,Robot Soccer World Cup,2008,A,A,CORE2008,COREA-2008.csv,2,False
SWAT,Scandinavian Workshop on Algorithm Theory,2008,A,A,CORE2008,COREA-2008.csv,2,False
SDM,SIAM International Conference on Data Mining,2008,A,A,CORE2008,COREA-2008.csv,2,False
